title,author,rank,votes,previous_rank,rank_change,goodreads
Jonathan Strange & Mr Norrell,Susanna Clarke,27,72,27,0,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
The Dresden Files,Jim Butcher,28,69,16,-12,https://www.goodreads.com/series/40346-the-dresden-files
Hierarchy,James Islington,29,66,,,https://www.goodreads.com/series/358080-hierarchy
Sarantine Universe,Guy Gavriel Kay,29,66,89,60,https://www.goodreads.com/series/49173-sarantine-mosaic
Hainish Cycle,Ursula K. Le Guin,31,65,39,8,https://www.goodreads.com/series/49359-hainish-cycle
The Broken Empire Universe,Mark Lawrence,32,58,101,69,https://www.goodreads.com/series/64473-the-broken-empire
The Chronicles of Osreth,Katherine Addison,33,57,36,3,https://www.goodreads.com/series/241702-the-chronicles-of-osreth
The Second Apocalypse,R. Scott Bakker,34,55,61,27,https://www.goodreads.com/series/83561-the-second-apocalypse
Cosmere,Brandon Sanderson,35,54,,,https://www.goodreads.com/series/135117-the-cosmere
His Dark Materials,Philip Pullman,36,52,28,-8,https://www.goodreads.com/series/44427-his-dark-materials
The Witcher,Andrzej Sapkowski,36,52,22,-14,https://www.goodreads.com/series/40911-the-witcher
The Chronicles of the Black Company,Glen Cook,36,52,53,17,https://www.goodreads.com/series/54284-the-chronicles-of-the-black-company
Solar Cycle,Gene Wolfe,36,52,39,3,https://www.goodreads.com/series/41474-the-book-of-the-new-sun
The Dark Tower,Stephen King,40,50,24,-16,https://www.goodreads.com/series/40750-the-dark-tower
The Scholomance,Naomi Novik,40,50,52,12,https://www.goodreads.com/series/282152-the-scholomance
Hyperion Cantos,Dan Simmons,40,50,26,-14,https://www.goodreads.com/series/40461-hyperion-cantos
Project Hail Mary,Andy Weir,43,48,45,2,https://www.goodreads.com/book/show/54493401-project-hail-mary
The Dandelion Dynasty,Ken Liu,44,47,84,40,https://www.goodreads.com/series/117103-the-dandelion-dynasty
The Sword of Kaigen,M.L. Wang,45,46,76,31,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen
World of the Five Gods,Lois McMaster Bujold,46,45,45,-1,https://www.goodreads.com/series/43463-world-of-the-five-gods-publication
The Spear Cuts Through Water,Simon Jimenez,47,44,235,188,https://www.goodreads.com/book/show/55868456-the-spear-cuts-through-water
Wayfarers,Becky Chambers,48,43,32,-16,https://www.goodreads.com/series/170872-wayfarers
Riyria Revelations,Michael J. Sullivan,49,42,34,-15,https://www.goodreads.com/series/96465-the-riyria-revelations
